,name,location,start_date,submission_deadline,notification_due,final_version_deadline,detected_conference_name,detected_location,detected_start_date,detected_submission_deadline,detected_notification_due,detected_final_version_deadline
0,IEEE Workshop on Pervasive Group Communication @ IEEE GLOBECOM 2010,"Miami, FL, USA",06/12/2010,11/07/2010,12/08/2010,31/08/2010,IEEE Workshop on Pervasive Group Communication @ IEEE GLOBECOM 2010,Miami,06/12/2010,25/06/2010,12/08/2010,31/08/2010
1,3rd International Symposium on Computational Intelligence and Design,"Hangzhou, China",29/10/2010,10/06/2010,25/06/2010,10/07/2010,3rd International Symposium on Computational Intelligence and Design,Hangzhou,29/10/2010,10/06/2010,25/06/2010,10/07/2010
2,17th ACM Conference on Computer and Communications Security,"Chicago, IL",04/10/2010,17/04/2010,21/06/2010,16/07/2010,The 17th ACM Conference on Computer and Communications Security,,17/04/2010,17/04/2010,21/06/2010,16/07/2010
3,First Workshop on Automated Knowledge Base Construction,"Grenoble, France",17/05/2010,05/03/2010,02/04/2010,03/05/2010,First Workshop on Automated Knowledge Base Construction 2010,Grenoble,01/05/2010,05/03/2010,02/04/2010,03/05/2010
4,North-Eastern Student Colloquium on Artificial Intelligence,"University of Massachusetts, Amherst, MA",16/04/2010,05/03/2010,22/03/2010,05/04/2010,"Due to generous sponsorship, a small $50 registration fee covers conference costs and two nights of accommodation",MA,16/04/2018,01/03/2010,22/03/2010,05/04/2010
5,IADIS International Conference e-Learning 2010,"Freiburg, Germany",26/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE E-LEARNING 2010,Freiburg,26/07/2010,15/03/2010,12/04/2010,
6,IADIS International Conference Intelligent Systems and Agents 2010,"Freiburg, Germany",29/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE INTELLIGENT SYSTEMS AND AGENTS 2010,Freiburg,29/07/2010,15/03/2010,12/04/2010,
7,IADIS International Conference Wireless Applications and Computing 2010,"Freiburg, Germany",26/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE WIRELESS APPLICATIONS AND COMPUTING 2010,Freiburg,01/07/2010,15/03/2010,12/04/2010,
8,IADIS International Conference Web Based Communities 2010,"Freiburg, Germany",29/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE WEB BASED COMMUNITIES 2010,Freiburg,01/07/2010,15/03/2010,12/04/2010,
9,CLEF 2010 - Conference on Multilingual and Multimodal Information Access,"Padua, Italy",20/09/2010,02/05/2010,11/06/2010,25/06/2010,CLEF 2010 - Conference on Multilingual and Multimodal Information Access,Italy,20/09/2021,01/05/2010,11/06/2010,25/06/2010
10,Fifth IEEE International Workshop on Practical Issues in Building Sensor Network Applications,"Denver, CO, USA",11/10/2010,22/05/2010,06/07/2010,28/07/2010,The Fifth IEEE International Workshop on Practical Issues in Building Sensor Network Applications,Sensor,11/10/2010,01/05/2010,06/07/2010,
11,4th International Workshop on Large Scale Distributed Systems and Middleware,"Zurich, Switzerland",28/07/2010,01/05/2010,15/06/2010,05/07/2010,The 4th International Workshop on Large Scale Distributed Systems and Middleware,Switzerland,28/07/2010,01/05/2010,15/06/2010,05/07/2010
12,The 1st International Conference on Pervasive Networked Services and Internet of Things,"Chongqing, China",12/07/2010,15/03/2010,12/04/2010,10/05/2010,The 1st International Conference on Pervasive Networked Services and Internet of Things,Chongqing,12/07/2010,15/03/2010,12/04/2010,15/03/2010
13,22nd Annual Psychology of Programming Interest Group,"Madrid, Spain",19/09/2010,12/04/2010,17/05/2010,01/06/2010,22nd Annual Psychology of Programming Interest Group,Madrid,19/09/2021,29/03/2010,17/05/2010,01/06/2010
14,Second International Workshop on Collaborative Agents -- REsearch and development (CARE),"Toronto, Canada",31/08/2010,16/04/2010,28/05/2010,07/06/2010,Second INTERNATIONAL WORKSHOP on Collaborative Agents -- REsearch and Development (CARE) 2010,Toronto,30/04/2020,14/04/2010,28/05/2010,07/06/2010
15,IEEE GLOBECOM 2010 Next-Generation Networking (NGN) Symposium,"Miami, FL",06/12/2010,15/03/2010,01/07/2010,01/08/2010,IEEE GLOBECOM 2010 Next-Generation Networking (NGN) Symposium,Miami,06/12/2010,15/03/2010,01/07/2010,01/08/2010
16,Fourth International Workshop on Trustworthy Ubiquitous Computing ,"Paris, France",08/11/2010,31/07/2010,30/08/2010,30/09/2010,Fourth International Workshop on Trustworthy Ubiquitous Computing,Paris,08/11/2010,31/07/2010,30/08/2010,30/09/2010
17,2nd International Workshop on Reliable Networks Design and Modeling,"Moscow, Russia",18/10/2010,15/05/2010,20/06/2010,05/07/2010,2nd International Workshop on Reliable Networks Design and Modeling,Moscow,18/10/2010,15/05/2010,20/06/2010,05/07/2010
18,2nd Symposium on Progress in Information and Communication Technology,"Kuala Lumpur, Malaysia",12/12/2010,01/09/2010,15/09/2010,15/10/2010,2nd Symposium on Progress in Information and Communication Technology,Kuala Lumpur,12/12/2010,01/08/2010,01/09/2010,15/10/2010
19,10th International Workshop on Worst-Case Execution Time Analysis,"Brussels, Belgium",06/07/2010,13/04/2010,14/05/2010,10/06/2010,10th International Workshop on Worst-Case Execution Time Analysis,Brussels,06/07/2010,13/04/2010,14/05/2010,10/06/2010
20,International Electron Devices and Materials Symposium,"Chungli, Taiwan",18/11/2010,31/07/2010,31/08/2010,30/09/2010,The International Electron Devices and Materials Symposium (IEDMS) 2010,Taiwan,30/04/2020,31/07/2010,31/08/2010,30/09/2010
21,The 2nd Workshop on Privacy and Security in Pervasive and Ambient Intelligence Environments,"Samos, Greece",23/06/2010,15/03/2010,24/03/2010,30/03/2010,The 2nd Workshop on Privacy and Security in Pervasive and Ambient Intelligence Environments,Samos,23/06/2010,15/03/2010,25/03/2010,30/03/2010
22,2nd International Conference on Information Science and Engineering,"Hangzhou, China",03/12/2010,01/08/2010,20/08/2010,15/09/2010,2nd International Conference on Information Science and Engineering,Hangzhou,01/06/2010,01/06/2010,15/08/2010,
23,Seventh International Conference on Data Integration in the Life Sciences,"Gothenburg, Sweden",25/08/2010,18/04/2010,17/05/2010,07/06/2010,Seventh International Conference on Data Integration in the Life Sciences,Gothenburg,25/08/2010,11/04/2010,01/05/2010,07/06/2010
24,Twelfth IEEE Workshop on Control and Modeling for Power Electronics (COMPEL 2010),"Boulder, USA",28/06/2010,02/04/2010,07/05/2010,26/06/2010,Twelfth IEEE Workshop on Control and Modeling for Power Electronics (COMPEL 2010),,02/04/2010,02/04/2010,07/05/2010,26/06/2010
25,5th Advanced Satellite Multimedia Systems Conference and the 11th Signal Processing for Space Communications Workshop,"Cagliari, Italy",13/09/2010,11/04/2010,15/05/2010,15/05/2010,The 5th Advanced Satellite Multimedia Systems Conference and the 11th Signal Processing for Space Communications Workshop,"Pula, Cagliari",15/03/2010,15/03/2010,15/05/2010,15/06/2010
